date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
05-10-2026,2026,Truist Championship,pga_classic,32941,574.5,400.0,429.0,100,14.22,2.54,90.0,6,13.55,3,3,05-10-2026 Truist Championship Classic.csv
05-11-2023,2023,Byron Nelson,pga_classic,41176,725.5,423.0,480.0,100,12.11,2.72,93.0,3,12.65,3,5,05-11-2023 Byron Nelson Classic.csv
05-11-2025,2025,Truist Championship,pga_classic,35294,596.0,420.5,453.5,100,12.67,2.09,96.0,2,13.42,1,4,05-11-2025 Truist Championship Classic.csv
05-12-2024,2024,Wells Fargo Championship,pga_classic,37647,563.0,340.0,382.0,100,12.52,2.78,94.0,2,11.79,3,3,05-12-2024 Wells Fargo Championship Classic.csv
05-17-2026,2026,PGA Championship,pga_classic,117647,511.0,263.5,310.5,100,12.59,2.36,74.0,3,10.37,3,4,05-17-2026 PGA Championship Classic.csv
05-18-2023,2023,PGA Championship,pga_classic,142243,474.0,219.5,263.5,100,9.55,3.04,94.0,2,9.31,3,2,05-18-2023 PGA Championship Classic.csv
05-18-2025,2025,PGA Championship,pga_classic,129411,528.5,255.5,305.5,100,10.47,3.81,91.0,3,9.5,4,2,05-18-2025 PGA Championship Classic.csv
05-19-2024,2024,PGA Championship,pga_classic,20115,655.0,481.5,497.5,100,10.08,3.53,93.0,3,9.77,4,4,05-19-2024 PGA Championship Classic.csv
05-24-2026,2026,CJ Cup Byron Nelson,pga_classic,32941,794.5,426.5,493.5,100,13.25,3.37,87.0,3,13.05,4,4,05-24-2026 The CJ Cup Byron Nelson Classic.csv
05-25-2023,2023,Charles Schwab,pga_classic,47058,496.5,249.0,296.0,100,13.65,2.8,79.0,6,11.59,4,3,05-25-2023 Charles Schwab Classic.csv
05-25-2025,2025,Charles Schwab Challenge,pga_classic,32941,535.0,286.0,333.0,100,9.97,3.72,91.0,3,8.16,5,5,05-25-2025 Charles Schwab Challenge Classic.csv
05-26-2024,2024,Charles Schwab Challenge,pga_classic,37647,503.5,271.0,313.0,100,13.82,3.09,92.0,2,15.96,3,2,05-26-2024 Charles Schwab Challenge Classic.csv
05-31-2026,2026,Charles Schwab Challenge,pga_classic,32941,580.0,318.5,370.0,100,11.86,2.35,97.0,2,9.8,3,5,05-31-2026 Charles Schwab Challenge Classic.csv
06-01-2023,2023,Memorial,pga_classic,58823,514.0,292.5,338.0,100,12.95,2.47,86.0,2,14.87,2,4,06-01-2023 The Memorial Classic.csv
06-01-2025,2025,Memorial,pga_classic,37647,505.5,304.5,343.0,100,12.58,3.75,87.0,4,11.72,5,5,06-01-2025 The Memorial Classic.csv
06-02-2024,2024,RBC Canadian Open,pga_classic,32941,613.0,304.0,362.5,100,14.6,2.76,89.0,2,15.23,3,3,06-02-2024 RBC Canadian Open Classic.csv
06-07-2026,2026,Memorial,pga_classic,35294,555.0,304.0,354.5,100,12.01,2.45,81.0,3,12.46,3,5,06-07-2026 The Memorial Classic.csv
06-08-2023,2023,Canadian Open,pga_classic,41176,669.0,342.0,404.0,100,14.35,1.89,86.0,4,13.45,2,5,06-08-2023 Canadian Open Classic.csv
06-08-2025,2025,RBC Canadian Open,pga_classic,32941,668.0,321.0,393.5,100,13.66,2.06,76.0,6,15.06,1,5,06-08-2025 RBC Canadian Open Classic.csv
06-09-2024,2024,Memorial,pga_classic,37647,485.0,303.0,341.0,100,14.58,2.74,93.0,3,15.2,3,5,06-09-2024 The Memorial Classic.csv
06-15-2023,2023,US Open,pga_classic,142243,543.0,289.0,336.5,100,15.6,0.78,49.0,10,15.08,1,3,06-15-2023 US Open Classic.csv
06-15-2025,2025,US Open,pga_classic,141176,444.5,188.0,231.5,100,12.26,3.82,85.0,2,12.43,4,5,06-15-2025 US Open Classic.csv
06-16-2024,2024,US Open,pga_classic,218466,470.5,241.5,284.5,100,15.67,0.65,46.0,15,16.3,0,5,06-16-2024 US Open Classic.csv
06-22-2023,2023,Travelers Championship,pga_classic,47058,726.0,400.5,468.0,100,14.51,2.12,65.0,5,14.77,1,4,06-22-2023 Travelers Championship Classic.csv
06-22-2025,2025,Travelers Championship,pga_classic,37647,623.5,401.5,446.5,100,14.14,1.41,80.0,2,14.27,0,5,06-22-2025 Travelers Championship Classic.csv
06-23-2024,2024,Travelers Championship,pga_classic,37647,724.0,505.0,547.0,100,14.42,2.08,83.0,4,13.0,3,4,06-23-2024 Travelers Championship Classic.csv
06-29-2023,2023,Rocket Mortgage,pga_classic,47058,712.5,353.0,425.0,100,13.01,3.28,90.0,2,12.08,3,3,06-29-2023 Rocket Mortgage Classic.csv
06-29-2025,2025,Rocket Classic,pga_classic,37647,724.5,411.5,472.5,100,12.74,2.49,88.0,2,12.47,3,5,06-29-2025 Rocket Classic Classic.csv
06-30-2024,2024,Rocket Mortgage Classic,pga_classic,37647,658.0,350.5,411.5,100,15.81,2.6,88.0,4,14.91,3,1,06-30-2024 Rocket Mortgage Classic Classic.csv
07-04-2024,2024,John Deere Classic RM Core 2024,pga_classic,45524,733.5,301.0,399.0,100,8.08,0.78,73.0,3,,0,1,07-04-2024 John Deere Classic RM Core 2024 Classic.csv
07-04-2024,2024,John Deere Classic RM Rare 2024,pga_classic,14338,754.0,329.5,422.0,100,12.09,0.24,75.0,4,12.03,0,3,07-04-2024 John Deere Classic RM Rare 2024 Classic.csv
07-06-2023,2023,John Deere,pga_classic,44117,702.0,361.0,425.5,100,11.96,2.61,91.0,3,12.2,2,7,07-06-2023 John Deere Classic.csv
07-06-2025,2025,John Deere Classic,pga_classic,32941,649.5,319.0,384.5,100,11.71,2.11,95.0,3,9.14,3,7,07-06-2025 John Deere Classic Classic.csv
07-07-2024,2024,John Deere Classic,pga_classic,32941,789.5,448.5,513.5,100,13.91,1.88,99.0,2,11.93,3,4,07-07-2024 John Deere Classic Classic.csv
07-13-2023,2023,Barbasol,pga_classic,2352,642.5,342.5,411.5,24,13.12,2.71,91.7,2,12.12,3,2,07-13-2023 Barbasol Classic.csv
07-13-2023,2023,Scottish Open,pga_classic,47058,567.5,304.0,356.5,100,11.5,2.17,90.0,2,11.32,3,4,07-13-2023 Scottish Open Classic.csv
07-13-2025,2025,Scottish Open,pga_classic,37647,593.0,331.5,382.5,100,11.02,3.65,84.0,4,13.6,3,4,07-13-2025 Scottish Open Classic.csv
07-14-2024,2024,Scottish Open,pga_classic,37647,684.5,370.0,426.5,100,13.7,1.87,83.0,3,14.05,1,5,07-14-2024 Scottish Open Classic.csv
07-20-2023,2023,Barracuda,pga_classic,1568,591.0,314.5,378.5,20,12.76,2.85,100.0,1,13.79,2,2,07-20-2023 Barracuda Classic.csv
07-20-2023,2023,British Open,pga_classic,142243,533.5,257.5,304.0,100,10.56,2.82,87.0,3,10.51,2,4,07-20-2023 British Open Classic.csv
07-20-2025,2025,British Open,pga_classic,129411,604.5,340.5,390.5,100,13.78,2.77,63.0,5,15.23,2,4,07-20-2025 British Open Classic.csv
07-21-2024,2024,British Open,pga_classic,129411,475.5,193.0,241.0,100,12.35,2.65,88.0,4,11.4,3,5,07-21-2024 British Open Classic.csv
07-27-2023,2023,3M Open,pga_classic,47058,678.5,307.0,369.0,100,10.28,2.92,94.0,2,11.12,2,4,07-27-2023 3M Open Classic.csv
07-27-2025,2025,3M Open,pga_classic,37647,727.0,361.5,431.0,100,13.09,2.0,81.0,7,13.41,2,4,07-27-2025 3M Open Classic.csv
07-28-2024,2024,3M Open,pga_classic,37647,632.5,310.0,370.5,100,13.04,2.71,100.0,1,14.17,4,6,07-28-2024 3M Open Classic.csv
08-03-2023,2023,Wyndham,pga_classic,47058,664.0,339.0,400.0,100,12.55,2.12,97.0,3,12.03,2,5,08-03-2023 Wyndham Classic.csv
08-03-2025,2025,Wyndham Championship,pga_classic,37647,652.5,319.5,379.0,100,11.2,3.07,96.0,4,11.92,3,3,08-03-2025 Wyndham Championship Classic.csv
08-04-2024,2024,Olympic Men_s Golf Competition,pga_classic,37647,659.0,470.0,506.0,100,15.72,0.43,60.0,4,15.22,0,5,08-04-2024 Olympic Men_s Golf Competition Classic.csv
08-10-2023,2023,Fed Ex St Jude,pga_classic,56470,633.5,436.5,468.5,100,12.25,1.17,79.0,4,11.1,2,5,08-10-2023 Fed Ex St Jude Classic.csv
08-10-2025,2025,FedEx St. Jude Championship,pga_classic,37647,622.0,421.5,451.0,100,15.0,2.52,89.0,3,15.34,2,2,08-10-2025 FedEx St. Jude Championship Classic.csv
08-11-2024,2024,Wyndham Championship,pga_classic,37647,662.0,316.0,381.5,100,14.91,2.02,79.0,3,15.16,3,3,08-11-2024 Wyndham Championship Classic.csv
08-17-2023,2023,BMW,pga_classic,56470,581.0,381.5,418.0,100,13.41,2.36,83.0,3,12.92,3,3,08-17-2023 BMW Classic.csv
08-17-2025,2025,BMW Championship,pga_classic,37647,541.5,366.5,397.5,100,16.02,1.93,73.0,5,13.56,2,5,08-17-2025 BMW Championship Classic.csv
08-18-2024,2024,FedEx St. Jude Championship,pga_classic,10536,604.5,491.0,503.0,100,11.89,3.64,98.0,2,9.01,4,3,08-18-2024 FedEx St. Jude Championship Classic.csv
08-24-2023,2023,Tour Championship,pga_classic,47058,635.5,452.0,485.0,100,24.49,0.12,6.0,15,25.9,0,0,08-24-2023 Tour Championship Classic.csv
08-25-2024,2024,BMW Championship,pga_classic,37647,597.0,395.0,427.5,100,13.15,2.53,92.0,2,16.27,2,6,08-25-2024 BMW Championship Classic.csv
09-01-2024,2024,Tour Championship,pga_classic,37647,723.0,520.5,555.0,100,22.16,0.06,22.0,10,20.23,0,3,09-01-2024 Tour Championship Classic.csv
09-14-2023,2023,Fortinet,pga_classic,18823,634.5,354.0,411.0,100,13.82,2.95,94.0,2,14.58,2,2,09-14-2023 Fortinet Classic.csv
09-14-2025,2025,Procore Championship,pga_classic,14117,602.0,365.0,414.0,100,13.36,1.66,94.0,2,11.77,2,5,09-14-2025 Procore Championship Classic.csv
09-15-2024,2024,Procore Championship,pga_classic,14117,588.0,314.0,369.0,100,14.29,1.74,96.0,2,16.01,1,3,09-15-2024 Procore Championship Classic.csv
09-21-2023,2023,Open De France,pga_classic,3529,552.0,271.0,327.0,35,11.73,2.6,100.0,1,10.13,3,5,09-21-2023 Open De France Classic.csv
09-28-2023,2023,Ryder Cup,pga_classic,19024,763.77,471.32,547.62,100,35.18,0.1,5.0,23,35.09,0,0,09-28-2023 Ryder Cup Classic.csv
09-28-2025,2025,Ryder Cup,pga_classic,16983,695.62,390.66,462.12,100,26.14,0.14,28.0,12,25.87,0,2,09-28-2025 Ryder Cup Classic.csv
09-29-2024,2024,Presidents Cup,pga_classic,13428,705.02,512.85,563.79,100,39.86,0.0,0.0,47,40.58,0,0,09-29-2024 Presidents Cup Classic.csv
10-05-2023,2023,Sanderson Farms,pga_classic,14117,633.0,356.6,418.0,100,14.46,2.06,98.0,2,16.32,1,4,10-05-2023 Sanderson Farms Classic.csv
10-05-2025,2025,Sanderson Farms Championship,pga_classic,10883,717.0,303.0,369.0,100,12.53,1.99,92.0,2,13.08,2,3,10-05-2025 Sanderson Farms Championship Classic.csv
10-06-2024,2024,Sanderson Farms Championship,pga_classic,14117,688.5,405.5,473.0,100,11.06,1.75,99.0,3,12.02,1,4,10-06-2024 Sanderson Farms Championship Classic.csv
10-11-2025,2025,Baycurrent Classic,pga_classic,8868,655.0,448.5,488.0,89,14.66,2.49,93.3,3,14.07,2,5,10-11-2025 Baycurrent Classic Classic.csv
10-12-2023,2023,Shriners,pga_classic,14117,697.5,380.0,452.0,100,12.41,2.97,100.0,1,7.9,4,2,10-12-2023 Shriners Classic.csv
10-13-2024,2024,Black Desert Championship,pga_classic,13374,701.0,408.5,473.0,100,12.95,1.58,90.0,8,13.5,1,5,10-13-2024 Black Desert Championship Classic.csv
10-19-2023,2023,ZOZO,pga_classic,14117,529.5,334.0,366.0,100,13.1,2.23,95.0,3,11.64,2,2,10-19-2023 ZOZO Classic.csv
10-20-2024,2024,Shriners Hospitals for Children Open,pga_classic,14117,719.5,346.0,419.0,100,15.84,1.87,92.0,2,12.16,4,3,10-20-2024 Shriners Hospitals for Children Open Classic.csv
10-26-2025,2025,Bank of Utah Championship,pga_classic,8235,705.0,342.0,411.5,82,13.12,2.11,100.0,1,13.33,2,4,10-26-2025 Bank of Utah Championship Classic.csv
10-27-2024,2024,ZOZO CHAMPIONSHIP,pga_classic,12624,632.0,420.5,457.5,100,11.27,2.27,95.0,3,13.89,3,5,10-27-2024 ZOZO CHAMPIONSHIP Classic.csv
11-02-2023,2023,WWT,pga_classic,14117,771.5,440.5,506.0,100,11.82,2.57,88.0,5,11.09,2,6,11-02-2023 WWT Classic.csv
11-09-2023,2023,Bermuda,pga_classic,14117,712.5,466.0,518.0,100,11.57,2.56,94.0,2,9.24,4,4,11-09-2023 Bermuda Classic.csv
11-09-2025,2025,World Wide Technology Championship,pga_classic,7018,787.5,463.5,537.5,70,13.66,3.1,92.9,3,15.46,2,3,11-09-2025 World Wide Technology Championship Classic.csv
11-10-2024,2024,World Wide Technology Championship,pga_classic,9411,745.5,445.5,505.5,94,14.25,1.68,97.9,2,15.24,1,5,11-10-2024 World Wide Technology Championship Classic.csv
11-16-2023,2023,RSM,pga_classic,14117,778.0,449.0,511.5,100,13.77,2.59,95.0,3,14.59,2,4,11-16-2023 RSM Classic.csv
11-16-2025,2025,Bermuda Championship,pga_classic,7058,512.5,275.0,320.5,71,12.78,2.45,91.5,2,13.09,1,5,11-16-2025 Bermuda Championship Classic.csv
11-17-2024,2024,Bermuda Championship,pga_classic,7058,616.0,378.5,431.5,71,14.21,0.89,94.4,2,15.41,1,4,11-17-2024 Bermuda Championship Classic.csv
11-23-2025,2025,RSM Classic,pga_classic,7058,725.5,439.0,503.0,71,14.54,1.44,91.5,2,14.73,2,4,11-23-2025 The RSM Classic Classic.csv
11-24-2024,2024,RSM Classic,pga_classic,9411,628.0,321.5,382.5,94,12.1,2.84,97.9,2,11.87,3,4,11-24-2024 The RSM Classic Classic.csv
11-30-2023,2023,Hero,pga_classic,11764,704.5,544.0,577.0,100,32.5,0.0,29.0,15,31.17,0,0,11-30-2023 Hero Classic.csv
12-07-2025,2025,Hero World Challenge,pga_classic,4564,753.5,573.8,610.0,46,28.58,0.0,43.5,5,29.19,0,0,12-07-2025 Hero World Challenge Classic.csv
